text,intent
หวัดดี,greeting
สวัสดีครับ,greeting
สวัสดีค่า,greeting
ดีจ้า,greeting
ดีค้าบ,greeting
ฮัลโหล,greeting
ทักค้าบ,greeting
โย่วว่าไง,greeting
ไงมึง,greeting
ว่าไงแก,greeting
ดีงับ,greeting
เฮลโหลล,greeting
ฮายย,greeting
ดีค่าแม่,greeting
สวัสดีชาวโลก,greeting
มาแล้วจ้า,greeting
ทักนะคับ,greeting
หวัดดีน้า,greeting
ดีตอนเช้า,greeting
มอนิ่งค้าบ,greeting
เฮ้ยดี,greeting
ไฮทุกคน,greeting
ฮายแก,greeting
สวัสดีงับ,greeting
ดีจังที่เจอ,greeting
โอ้โหใครมา,greeting
หวัดดีนะ,greeting
ดีครับผม,greeting
ดีค่าา,greeting
สวัสดีค้าบทุกคน,greeting
ดีนะหล่อน,greeting
ไงตัวแม่,greeting
ว่าไงคุณน้า,greeting
ฮายจึ้งๆ,greeting
ดีมากแม่,greeting
สวัสดีแบบเริ่ด,greeting
ทักทายค่า,greeting
ดีเว่อร์,greeting
ฮัลโหลมีใครอยู่ไหม,greeting
เห้ยว่าไง,greeting
สวัสดียามบ่าย,greeting
ดีตอนดึก,greeting
หวัดดีเฟรนด์,greeting
ไงเพื่อน,greeting
ดีครัช,greeting
สวัสดีจ้าา,greeting
ทักฮะ,greeting
มึงอยู่ปะหวัดดี,greeting
ว่าไงไอ้ตัวแสบ,greeting
สวัสดีแบบไม่เป็นทางการ,greeting
ทำไรอยู่,daily_question
ทำไรอยู่อะ,daily_question
กินข้าวยัง,daily_question
กินไรยัง,daily_question
ถึงบ้านยัง,daily_question
กลับถึงบ้านยัง,daily_question
นอนยัง,daily_question
ตื่นยัง,daily_question
เลิกงานยัง,daily_question
อยู่ไหนอะ,daily_question
วันนี้กินอะไร,daily_question
มึงทำไรอยู่,daily_question
อาบน้ำยัง,daily_question
ขับรถอยู่ปะ,daily_question
ออกจากบ้านยัง,daily_question
กลับกี่โมง,daily_question
เรียนเสร็จยัง,daily_question
ประชุมเสร็จยัง,daily_question
งานยุ่งอยู่ไหม,daily_question
ว่างอยู่ปะ,daily_question
ดูไรอยู่,daily_question
เล่นเกมอยู่หรอ,daily_question
ฟังเพลงอะไรอยู่,daily_question
กินข้าวกับไร,daily_question
หิวไหมตอนนี้,daily_question
ถึงหอยัง,daily_question
ถึงคอนโดยัง,daily_question
ขึ้นรถยัง,daily_question
รอรถอยู่ปะ,daily_question
ไปไหนมา,daily_question
ทำงานอยู่หรอคับ,daily_question
วันนี้เลิกกี่โมง,daily_question
กินน้ำยัง,daily_question
พักเที่ยงยัง,daily_question
ออกเวรยัง,daily_question
เปิดคอมอยู่ไหม,daily_question
มึงนอนรึยัง,daily_question
ตอนนี้อยู่บ้านปะ,daily_question
ได้กินกาแฟยัง,daily_question
กำลังทำอะไรอยู่งับ,daily_question
ถึงแล้วบอกด้วยนะ,daily_question
กลับห้องยังแก,daily_question
กินข้าวยังจ๊ะตัวแม่,daily_question
ทำไรอยู่คะหล่อน,daily_question
แต่งตัวเสร็จยัง,daily_question
ชาร์จแบตยัง,daily_question
ล้างหน้าแปรงฟันยัง,daily_question
วันนี้ไปทำงานไหม,daily_question
ถึงที่ทำงานยัง,daily_question
ตอนนี้สะดวกคุยไหม,daily_question
เป็นไงบ้าง,ask_status
ช่วงนี้เป็นไง,ask_status
โอเคไหม,ask_status
ไหวไหม,ask_status
เหนื่อยไหม,ask_status
สบายดีไหม,ask_status
วันนี้โอเคปะ,ask_status
มึงโอเคป่าว,ask_status
ช่วงนี้เหนื่อยมากไหม,ask_status
ใจเป็นไงบ้าง,ask_status
ยังไหวอยู่ไหม,ask_status
งานหนักไหมช่วงนี้,ask_status
ชีวิตช่วงนี้เป็นไง,ask_status
นอยอยู่หรอ,ask_status
เครียดไหม,ask_status
ดีขึ้นยัง,ask_status
หายเศร้ายัง,ask_status
เป็นไรป่าว,ask_status
ดูเงียบๆนะโอเคไหม,ask_status
วันนี้อารมณ์ดีไหม,ask_status
สุขภาพเป็นไงบ้าง,ask_status
ช่วงนี้นอนพอไหม,ask_status
เหนื่อยมากปะมึง,ask_status
ยังโอเคใช่ไหม,ask_status
เป็นไงบ้างงับ,ask_status
วันนี้เจออะไรแย่ไหม,ask_status
มีเรื่องอะไรไม่สบายใจปะ,ask_status
ช่วงนี้ใจฟูไหม,ask_status
นอยอ่าาเป็นไร,ask_status
หมดไฟปะช่วงนี้,ask_status
ยังยิ้มได้อยู่ไหม,ask_status
ไหวมั้ยคับ,ask_status
มึงดูแปลกๆโอเคปะ,ask_status
สภาพตอนนี้กี่เปอร์เซ็น,ask_status
วันนี้รอดไหม,ask_status
เป็นไงบ้างแม่,ask_status
ช่วงนี้ปังหรือพัง,ask_status
ใจยังจึ้งอยู่ไหม,ask_status
โอเคมั้ยหล่อน,ask_status
เหนื่อยก็พักนะไหวป่าว,ask_status
ชีวิตตอนนี้ฉ่ำไหม,ask_status
ช่วงนี้โดนอะไรมาไหม,ask_status
มึงไหวแน่นะ,ask_status
ยังดีอยู่ปะ,ask_status
วันนี้เหนื่อยแค่ไหน,ask_status
อาการเป็นไงบ้าง,ask_status
ฟีลช่วงนี้เป็นไง,ask_status
ยังโอเครึเปล่า,ask_status
ทำไมดูนอยๆอะ,ask_status
มีอะไรอยากเล่าไหม,ask_status
น่ารักจัง,compliment
วันนี้สวยมาก,compliment
หล่อขึ้นนะ,compliment
เก่งมากเลย,compliment
สุดยอดมาก,compliment
ทำดีมาก,compliment
โคตรเท่,compliment
ปังมากแม่,compliment
จึ้งมาก,compliment
เริ่ดเว่อร์,compliment
สับมากหล่อน,compliment
ตัวแม่มาก,compliment
มงลงแล้ว,compliment
ชีเสิร์ฟสุด,compliment
ทำถึงมาก,compliment
หน้าดีมากอะ,compliment
เสียงเพราะจัง,compliment
แต่งตัวโคตรดี,compliment
รูปนี้ดีมาก,compliment
ยิ้มแล้วน่ารัก,compliment
โหเก่งสัส,compliment
งานนี้ปังไม่ไหว,compliment
มึงแม่งเก่งจริง,compliment
น่ารักแบบตะโกน,compliment
หล่อแบบไม่พัก,compliment
สวยแบบฉ่ำ,compliment
เท่มากคับ,compliment
ดีงามพระรามแปด,compliment
โคตรภูมิใจในตัวมึง,compliment
เก่งอะยอม,compliment
พูดดีมากเลย,compliment
คิดได้ดีมาก,compliment
ทำงานไวมาก,compliment
หัวดีมากนะ,compliment
ใจดีจัง,compliment
น่ารักที่สุดเลยงับ,compliment
วันนี้ออร่ามาก,compliment
ชุดนี้เข้ากับเธอมาก,compliment
หน้าเด็กมาก,compliment
เก่งเกินเบอร์,compliment
แม่งโคตรมีเสน่ห์,compliment
น่ารักจนหงุดหงิด,compliment
จริตดีมากแม่,compliment
สวยแบบตัวมัม,compliment
หล่อฉ่ำเวอร์,compliment
งานละเอียดมาก,compliment
คอนเทนต์นี้ปัง,compliment
ไอเดียดีมาก,compliment
เสียงหัวเราะน่ารัก,compliment
เก่งจนอยากปรบมือ,compliment
คิดถึงนะ,flirt
อยากเจอจัง,flirt
คุยด้วยแล้วใจฟู,flirt
วันนี้คิดถึงเธอทั้งวัน,flirt
เป็นห่วงนะ,flirt
อยากคุยกับเธอ,flirt
เห็นชื่อแล้วใจสั่น,flirt
ฝันถึงด้วยแหละ,flirt
อยากอยู่ข้างๆ,flirt
ถ้าได้เจอคงดี,flirt
เธอน่ารักจนเราเสียอาการ,flirt
ชอบคุยกับเธออะ,flirt
คิดถึงแบบไม่ไหว,flirt
อยากกอดจัง,flirt
วันนี้ขอคุยด้วยได้ไหม,flirt
เธอทำให้วันแย่ๆดีขึ้น,flirt
ใจมันไปหาเธออีกแล้ว,flirt
มึงน่ารักจนกูแพ้,flirt
อยากเป็นคนที่เธอทักหา,flirt
หายไปแป๊บเดียวก็คิดถึง,flirt
อยากชวนคุยทั้งคืน,flirt
เธอแม่งมีผลต่อใจ,flirt
คิดถึงนะคับคนดี,flirt
อยากเจอหน้าแล้ว,flirt
คุยกับเธอแล้วไม่เบื่อเลย,flirt
ชอบเวลาที่เธอเล่าให้ฟัง,flirt
อยากเป็นคนโปรดของเธอ,flirt
ถ้าเธอว่างเราขออยู่ในใจได้ปะ,flirt
ใจบางหมดแล้ว,flirt
เธอคือความน่ารักของวันนี้,flirt
ได้คุยกับเธอคือจึ้งสุด,flirt
คิดถึงแบบตัวแม่คิดถึง,flirt
อยากโดนเธอใส่ใจบ้าง,flirt
ไม่ได้อ่อยแค่พูดจริง,flirt
ชอบเธอนิดนึงแต่คิดถึงเยอะ,flirt
แค่เธอทักมาก็ยิ้มแล้ว,flirt
ขอจีบได้ไหมไม่ดุใช่ปะ,flirt
ถ้าคืนนี้เหงาทักเรานะ,flirt
เป็นห่วงโคตรๆเลย,flirt
เธอพักบ้างนะคนเก่ง,flirt
อยากดูแลบ้างได้ไหม,flirt
มึงอย่าน่ารักมากกูรับไม่ไหว,flirt
คิดถึงแบบตะโกน,flirt
อยากโทรหาเธอจัง,flirt
เธอทำตัวน่ารักอีกแล้วนะ,flirt
ชอบรอยยิ้มเธอจัง,flirt
ขอเป็นคนที่ทำให้เธอยิ้มได้ไหม,flirt
ถ้าเธอเหนื่อยมาอ้อนเราได้,flirt
ไม่ได้หยอดแต่ตั้งใจพูด,flirt
คุยกับเธอแล้วโลกมันเบาลง,flirt
ไปกินข้าวกันไหม,invite
ว่างไหมไปเดินเล่นกัน,invite
คืนนี้ไปดูหนังกันปะ,invite
