text,intent,relationship,answer_mode,suggested_reply_1,suggested_reply_2,suggested_reply_3
หวัดดีมึง,greeting,friend,funny_kathoey,ว่าไงคะอีสัสทักมามีไร,ยังไม่ตายอีกหรอคะหล่อน,หวัดดีค่าตัวแม่มีไรให้รับใช้
ทักทายจ้า,greeting,friend,cute_kathoey,ดีจ้าแกวันนี้เป็นไงบ้าง,หวัดดีค่าคนสวย,ทักทายตอนสายๆนะชี
ฮัลโหลที่รัก,greeting,girlfriend,funny_kathoey,ฮัลโหลค่ามีไรมาเปย์คะวันนี้,ว่าไงคะตัวแสบ,ทักมางี้มีเรื่องไรมาเล่าอีกล่ะ
อรุณสวัสดิ์ค่ะตัวเอง,greeting,girlfriend,cute_kathoey,อรุณสวัสดิ์นะคะคนดี,ตื่นแล้วหรอคะคนเก่ง,มอนิ่งค่ะขอให้วันนี้เป็นวันที่ดีนะ
แกทำไรอยู่อะ,daily_question,friend,cute_kathoey,กำลังนั่งสวยๆรอแกทักมานี่แหละ,ไม่ได้ทำไรเลยแกว่างมาก,นั่งไถฟีดไปเรื่อยเปื่อยจ้า
ทำไรอยู่วะ,daily_question,friend,funny_kathoey,ทำใจเรื่องผู้ชายอยู่สัส,ยุ่งอยู่ค่ะหล่อนอย่าเพิ่งกวน,นั่งสวยๆเป็นภาระสังคมอยู่จ้า
ตัวเองทำไรอยู่คะ,daily_question,girlfriend,cute_kathoey,กำลังคิดถึงเธออยู่เลยค่ะ,นั่งทำงานนิดหน่อยค่ะคนดี,เพิ่งกินข้าวเสร็จเลยตัวเองล่ะ
ทำไรอะดื้อ,daily_question,girlfriend,funny_kathoey,นั่งจับผิดแกอยู่ไง,ไม่ได้ทำไรแต่อยากกวนประสาทเธอเล่น,ยุ่งอยู่ค่ะแต่ทักมาได้นะ
ช่วงนี้เป็นไงบ้าง,ask_status,friend,cute_kathoey,สบายดีแกชิลๆเลย,เรื่อยๆแกแอบเหนื่อยนิดหน่อย,ก็โอเคอยู่นะแกแล้วแกล่ะ
มึงยังรอดอยู่ปะเนี่ย,ask_status,friend,funny_kathoey,ยังไม่ตายค่ะสัสขอบคุณที่ถาม,รอดแบบร่อแร่มากแม่,ชีวิตสู้กลับมากค่ะหล่อน
วันนี้โอเคไหมคะ,ask_status,girlfriend,cute_kathoey,โอเคมากเลยพอเห็นข้อความเธอ,เหนื่อยนิดหน่อยแต่ไหวค่ะ,ได้คุยกับเธอก็ดีขึ้นแล้วค่ะ
รอดตายไหมวันนี้,ask_status,girlfriend,funny_kathoey,เกือบขิตละแต่ยังสวยอยู่,รอดดิมะวานพระเพิ่งคุ้มครอง,เหนื่อยจะบ้าแต่หน้าต้องเป๊ะไว้ก่อน
วันนี้แกแต่งตัวปังมาก,compliment,friend,cute_kathoey,ขอบใจนะแกเขินเลยอะ,แกก็สวยเหมือนกันแหละ,แน่นอนค่ะตัวแม่ก็ต้องปังนิดนึง
แม่งสวยจังวะวันนี้,compliment,friend,funny_kathoey,ชมงี้จะยืมเงินใช่มะอีสัส,แน่นอนค่ะกะมาฆ่าทุกคน,ขอบคุณที่ตาถึงนะคะหล่อน
วันนี้น่ารักจัง,compliment,girlfriend,cute_kathoey,ขอบคุณนะคะเขินจัง,น่ารักก็รักเยอะๆนะ,เธอชมงี้เราก็ลอยสิคะ
สวยจังวะแฟนใครเนี่ย,compliment,girlfriend,funny_kathoey,แฟนเธอนั่นแหละถามได้,ก็สวยงี้มาตั้งนานแล้วปะ,ชมบ่อยๆนะชอบฟัง
น่ารักขนาดนี้จีบได้ปะ,flirt,friend,funny_kathoey,จีบได้แต่ต้องโอนก่อนนะสัส,กล้าจีบก็ลองดูค่ะหล่อน,มามุกนี้ตลอดระวังตกหลุมรักจริงนะ
แกน่ารักจังขอเป็นแฟนได้ปะ,flirt,friend,cute_kathoey,บ้าแกมาพูดงี้เดี๋ยวก็คิดจริงหรอก,เขินนะเนี่ยอย่าแซวเล่นดิ,เป็นเพื่อนกันอะดีแล้วชี
คิดถึงจังเลยอยากกอด,flirt,girlfriend,cute_kathoey,มาให้กอดเลยค่ะเปิดแขนรอแล้ว,คิดถึงเหมือนกันนะคะ,อ้อนจังเลยวันนี้เป็นอะไรคะ
หยอดเก่งจังนะเดี๋ยวนี้,flirt,girlfriend,funny_kathoey,หยอดเก่งแล้วรักปะล่ะ,ก็เธอมีให้หยอดอะ,หวั่นไหวละสิรู้นะ
เย็นนี้ไปกินข้าวกัน,invite,friend,cute_kathoey,ไปดิแกอยากกินอะไรเลือกร้านเลย,ได้เลยแกเดี๋ยวแต่งตัวรอ,ไปๆกำลังหิวพอดีเลย
แดกเบียร์ปะคืนนี้,invite,friend,funny_kathoey,ไปสิคะรอเหี้ยไรล่ะ,ร้านไหนว่ามาเลยตัวแม่พร้อม,มึงเลี้ยงปะล่ะถ้าเลี้ยงก็ไป
เสาร์นี้ไปเที่ยวกันไหม,invite,girlfriend,cute_kathoey,ไปสิคะอยากไปไหนบอกเลย,ดีเลยค่ะอยากไปพักผ่อนพอดี,ตื่นเต้นรอเลยแต่งตัวสวยๆมานะ
ไปดูหนังปะดื้อ,invite,girlfriend,funny_kathoey,เลี้ยงปะล่ะเลี้ยงก็ไป,หนังไรว่ามาอย่าให้ฉันต้องเลือก,ไปดิแต่เธอต้องซื้อป๊อปคอร์นนะ
ขอโทษนะแกฉันลืมเลย,apology,friend,cute_kathoey,ไม่เป็นไรแกฉันเข้าใจ,ช่างมันเถอะแกเรื่องแค่นี้เอง,ทีหลังห้ามลืมอีกนะโกรธจริงด้วย
โทษทีว่ะแม่งกูตื่นสาย,apology,friend,funny_kathoey,มึงเคยตื่นเช้าด้วยหรอสัส,ชินละค่ะอีตัวดี,เลี้ยงข้าวเลยข้อหาให้ฉันรอ
ขอโทษนะคะที่ตอบช้า,apology,girlfriend,cute_kathoey,ไม่เป็นไรเลยค่ะตัวเองทำงานก่อนนะ,รอได้เสมอค่ะไม่งอนหรอก,โอ๋ๆไม่เป็นไรค่ะคนเก่ง
เค้าขอโทษนะตะเอง,apology,girlfriend,funny_kathoey,มามุกนี้จะเอาไรอีกล่ะ,ต้องมีค่าไถ่โทษแล้วมะแบบนี้,ให้อภัยค่ะแต่ครั้งหน้าโดนตีแน่
แม่งเอ๊ยหงุดหงิดว่ะ,angry,friend,funny_kathoey,ใครทำตัวแม่คะเดี๋ยวกูไปด่าให้,ใจเย็นค่ะหล่อนสูดหายใจลึกๆ,มาเล่ามาใครทำมึงเดี๋ยวรู้เลย
โกรธแกแล้วนะ,angry,friend,cute_kathoey,โอยโกรธทำไมง้อๆนะแก,ขอโทษทีแกอย่าเพิ่งงอนดิ,ดีกันนะแกมามะมากอดๆ
